passive_id,职业,被动名,效果类型,数值1,数值2,条件,特殊机制
P01_01,剑侠,剑心通明,暴击伤害,30,0,,暴击伤害+30%
P01_02,剑侠,剑气不绝,触发效果,15,15,造成伤害时,15%概率叠加1层剑气标记
P01_03,剑侠,克敌机先,伤害加成,20,0,目标有破绽时,伤害+20%
P01_04,剑侠,剑胆琴心,蓄力增伤,10,3,回合未行动时,每层+10%最多3层
P02_01,刀客,浴血奋战,伤害加成,25,50,生命低于50%,伤害+25%
P02_02,刀客,刀意烈,效果延长,1,0,流血效果,流血延长1回合
P02_03,刀客,强运,暴击率,10,0,,暴击率+10%
P02_04,刀客,破竹之势,生命回复,20,0,击杀时,回复20%生命
P03_01,拳师,借力打力,反击,80,20,受到物攻时,20%概率反击80%物攻
P03_02,拳师,内劲渗透,防御降低,10,0,造成内伤时,目标物防-10%可叠加
P03_03,拳师,百折不挠,攻击加成,5,10,每损失10%生命,物攻+5%
P03_04,拳师,寸劲,生命回复,10,0,造成晕眩时,回复10%生命
P04_01,刺客,见血封喉,毒伤穿透,5,0,中毒目标,毒伤无视防御+每层毒+5%暴击
P04_02,刺客,鬼魅,刷新隐身,50,0,暴击时,50%概率刷新隐身
P04_03,刺客,暗器宗师,伤害加成,10,0,群体技能,附带10%当前生命伤害
P04_04,刺客,绝命毒师,攻击降低,15,0,中毒目标,攻击力-15%
P05_01,药师,妙手回春,治疗加成,30,0,,治疗量+30%
P05_02,药师,百草精通,免疫回复,10,0,每回合,免疫中毒+每回合回复10%生命
P05_03,药师,丹药反噬,暴击率,25,0,敌人有debuff,治疗暴击+25%
P05_04,药师,药王,复活保护,1,0,复活目标,复苏1回合(不会被一击致死)
P06_01,儒家,浩然正气,法攻加成,5,0,每多一个buff,自身法攻+5%
P06_02,儒家,教化,效果延长,1,0,debuff,debuff持续时间+1回合
P06_03,儒家,民为贵,治疗加成,10,0,每有一个debuff,治疗效果+10%
P06_04,儒家,春秋大义,免死清除,1,0,受到致命伤,保留1血并清除己方全体debuff每场一次
P07_01,道家,道法自然,闪避,25,0,回合开始时,25%概率闪避所有攻击
P07_02,道家,守中,防御加成,5,30,每受到一次攻击,+5%物防(最多30%)
P07_03,道家,反者道之动,反击伤害,50,0,,反击伤害+50%
P07_04,道家,虚极静笃,闪避率,60,20,生命低于20%,闪避率+60%
P08_01,墨家,巧夺天工,伤害加成,10,0,机关存在时,己方全体伤害+10%
P08_02,墨家,机关大师,召唤上限,1,0,,每场多召唤1机关
P08_03,墨家,同命锁,反伤,100,0,机关被摧毁时,对攻击者造成100%法攻伤害
P08_04,墨家,非攻,伤害加成,40,0,对召唤物敌人,伤害+40%